kode_produk,nama_produk,kategori,harga,stok
PRD0001,Kabel USB,Elektronik,415048,161
PRD0002,Charger HP,Elektronik,311219,170
PRD0003,Power Bank,Elektronik,423478,51
PRD0004,Mouse Wireless,Elektronik,224895,30
PRD0005,Keyboard,Elektronik,287507,58
PRD0006,Headset,Elektronik,341547,39
PRD0007,Speaker Bluetooth,Elektronik,478269,69
PRD0008,Kipas Angin Mini,Elektronik,435392,37
PRD0009,Lampu LED,Elektronik,39439,16
PRD0010,Adaptor,Elektronik,88991,79
PRD0011,Kabel HDMI,Elektronik,313974,192
PRD0012,Card Reader,Elektronik,434139,146
PRD0013,USB Hub,Elektronik,484970,74
PRD0014,Mouse Pad,Elektronik,232242,32
PRD0015,Webcam,Elektronik,247732,177
PRD0016,Microphone,Elektronik,161431,180
PRD0017,Remote TV,Elektronik,213030,70
PRD0018,Baterai AA,Elektronik,264391,139
PRD0019,Baterai AAA,Elektronik,260890,113
PRD0020,Charger Mobil,Elektronik,44174,154
PRD0021,Mie Instan,Makanan,22898,111
PRD0022,Biskuit,Makanan,387107,83
PRD0023,Keripik Kentang,Makanan,318519,65
PRD0024,Cokelat Batang,Makanan,15560,24
PRD0025,Permen,Makanan,122022,173
PRD0026,Kacang Goreng,Makanan,440283,148
PRD0027,Roti Tawar,Makanan,309821,6
PRD0028,Sereal,Makanan,402954,173
PRD0029,Abon Sapi,Makanan,432661,69
PRD0030,Dendeng,Makanan,304119,11
PRD0031,Kerupuk Udang,Makanan,402088,194
PRD0032,Kue Kering,Makanan,93850,121
PRD0033,Selai Kacang,Makanan,274086,167
PRD0034,Madu,Makanan,233855,72
PRD0035,Tepung Terigu,Makanan,97152,150
PRD0036,Gula Pasir,Makanan,230529,163
PRD0037,Kopi Bubuk,Makanan,428898,126
PRD0038,Teh Celup,Makanan,49837,121
PRD0039,Susu Bubuk,Makanan,184431,105
PRD0040, Agar-agar,Makanan,176749,83
PRD0041,Air Mineral,Minuman,353342,27
PRD0042,Jus Jeruk,Minuman,451699,42
PRD0043,Soft Drink,Minuman,174912,106
PRD0044,Teh Botol,Minuman,365684,127
PRD0045,Kopi Instan,Minuman,153109,170
PRD0046,Susu UHT,Minuman,497553,103
PRD0047,Yogurt,Minuman,428542,195
PRD0048,Minuman Isotonik,Minuman,290409,10
PRD0049,Sirup,Minuman,240459,23
PRD0050,Soda,Minuman,166897,65
PRD0051,Jus Mangga,Minuman,171488,30
PRD0052,Jus Apel,Minuman,407037,104
PRD0053,Minuman Berenergi,Minuman,455462,132
PRD0054,Air Kelapa,Minuman,434499,1
PRD0055,Susu Kedelai,Minuman,346803,139
PRD0056,Jahe Instan,Minuman,244208,106
PRD0057,Cincau,Minuman,30418,49
PRD0058,Es Krim,Minuman,273811,93
PRD0059,Milkshake,Minuman,328439,194
PRD0060,Kefir,Minuman,263353,161
PRD0061,Pensil 2B,Alat Tulis,233756,195
PRD0062,Bolpoin Hitam,Alat Tulis,29059,53
PRD0063,Penghapus,Alat Tulis,142014,141
PRD0064,Penggaris,Alat Tulis,70688,74
PRD0065,Buku Tulis,Alat Tulis,231699,179
PRD0066,Spidol,Alat Tulis,256128,32
PRD0067,Stabilo,Alat Tulis,17135,162
PRD0068,Lem Kertas,Alat Tulis,321224,62
PRD0069,Gunting,Alat Tulis,374130,41
PRD0070,Cutter,Alat Tulis,164922,142
PRD0071,Amplop,Alat Tulis,9169,142
PRD0072,Kertas HVS,Alat Tulis,215904,24
PRD0073,Map Plastik,Alat Tulis,119807,30
PRD0074,Binder,Alat Tulis,243931,31
PRD0075,Klip Kertas,Alat Tulis,341586,40
PRD0076,Isi Staples,Alat Tulis,263292,184
PRD0077,Tipe-X,Alat Tulis,155019,131
PRD0078,Pensil Warna,Alat Tulis,371838,70
PRD0079,Krayon,Alat Tulis,219836,124
PRD0080,Cat Air,Alat Tulis,249579,63
PRD0081,Sapu,Perlengkapan Rumah,241487,142
PRD0082,Pel,Perlengkapan Rumah,77834,99
PRD0083,Ember,Perlengkapan Rumah,101934,154
PRD0084,Lap Mikrofiber,Perlengkapan Rumah,268464,192
PRD0085,Gelas Kaca,Perlengkapan Rumah,463020,35
PRD0086,Piring,Perlengkapan Rumah,454998,18
PRD0087,Mangkok,Perlengkapan Rumah,146833,198
PRD0088,Sendok Set,Perlengkapan Rumah,416190,107
PRD0089,Garpu,Perlengkapan Rumah,180192,130
PRD0090,Pisau Dapur,Perlengkapan Rumah,142075,1
PRD0091,Talenan,Perlengkapan Rumah,150289,186
PRD0092,Panci,Perlengkapan Rumah,158529,151
PRD0093,Wajan,Perlengkapan Rumah,306046,169
PRD0094,Stoples,Perlengkapan Rumah,258712,39
PRD0095,Rak Piring,Perlengkapan Rumah,236119,138
PRD0096,Serbet,Perlengkapan Rumah,255934,89
PRD0097,Sikat Gigi,Perlengkapan Rumah,176294,142
PRD0098,Pasta Gigi,Perlengkapan Rumah,401964,140
PRD0099,Sabun Mandi,Perlengkapan Rumah,199766,117
PRD0100,Shampoo,Perlengkapan Rumah,491083,83
PRD0101,Masker,Kesehatan,457921,49
PRD0102,Hand Sanitizer,Kesehatan,367690,62
PRD0103,Vitamin C,Kesehatan,301786,99
PRD0104,Minyak Kayu Putih,Kesehatan,124453,199
PRD0105,Plester,Kesehatan,217364,12
PRD0106,Perban,Kesehatan,168816,191
PRD0107,Obat Flu,Kesehatan,249975,181
PRD0108,Obat Batuk,Kesehatan,480900,98
PRD0109,Minuman Herbal,Kesehatan,204416,170
PRD0110,Suplemen,Kesehatan,417442,167
PRD0111,Multivitamin,Kesehatan,81746,127
PRD0112,Minyak Ikan,Kesehatan,21408,33
PRD0113,Salep Luka,Kesehatan,265345,152
PRD0114,Obat Nyamuk,Kesehatan,176060,26
PRD0115,Lotion,Kesehatan,460327,113
PRD0116,Tabir Surya,Kesehatan,54277,135
PRD0117,Vitamin E,Kesehatan,479333,117
PRD0118,Probiotik,Kesehatan,10046,185
PRD0119,Antasida,Kesehatan,77578,105
PRD0120,Parasetamol,Kesehatan,458619,168
PRD0121,Bola Basket,Olahraga,82929,20
PRD0122,Bola Voli,Olahraga,248148,68
PRD0123,Raket Badminton,Olahraga,179503,160
PRD0124,Kok Bulu Tangkis,Olahraga,365176,102
PRD0125,Matras Yoga,Olahraga,342701,21
PRD0126,Dumbbell,Olahraga,448570,85
PRD0127,Skipping,Olahraga,448872,173
PRD0128,Botol Minum,Olahraga,452542,137
PRD0129,Hand Grip,Olahraga,201234,82
PRD0130,Resistance Band,Olahraga,330623,184
PRD0131,Peluit,Olahraga,467273,195
PRD0132,Stopwatch,Olahraga,257825,139
PRD0133,Kaos Olahraga,Olahraga,20821,159
PRD0134,Handuk,Olahraga,37872,61
PRD0135,Sepatu Lari,Olahraga,332910,176
PRD0136,Tas Gym,Olahraga,484832,74
PRD0137,Topi Olahraga,Olahraga,121268,192
PRD0138,Gelang Keringat,Olahraga,49384,112
PRD0139,Sarung Tangan,Olahraga,53612,195
PRD0140,Bola Sepak,Olahraga,334266,181
PRD0141,Boneka,Mainan,459482,26
PRD0142,Mobil Mobilan,Mainan,234615,43
PRD0143,Puzzle,Mainan,365856,77
PRD0144,LEGO,Mainan,475654,8
PRD0145,Rubik,Mainan,26112,84
PRD0146,Yo Yo,Mainan,419408,15
PRD0147,Lato Lato,Mainan,155809,92
PRD0148,Ketapel,Mainan,198524,111
PRD0149,Kapal Kapalan,Mainan,78320,63
PRD0150,Layang Layang,Mainan,280484,106
PRD0151,Kelereng,Mainan,298709,175
PRD0152,Ular Tangga,Mainan,417508,47
PRD0153,Monopoli,Mainan,91120,45
PRD0154,Uno Cards,Mainan,43402,157
PRD0155,Katapel,Mainan,458570,98
PRD0156,Tamiya,Mainan,326906,175
PRD0157,Beyblade,Mainan,128264,128
PRD0158,Slime,Mainan,480585,150
PRD0159,Playdoh,Mainan,77034,60
PRD0160,Balon,Mainan,243775,164
PRD0161,Kabel USB,Elektronik,135157,118
PRD0162,Charger HP,Elektronik,135864,171
PRD0163,Power Bank,Elektronik,6926,120
PRD0164,Mouse Wireless,Elektronik,474493,74
PRD0165,Keyboard,Elektronik,357263,140
PRD0166,Headset,Elektronik,84824,19
PRD0167,Speaker Bluetooth,Elektronik,233593,89
PRD0168,Kipas Angin Mini,Elektronik,310056,77
PRD0169,Lampu LED,Elektronik,336987,109
PRD0170,Adaptor,Elektronik,363923,65
PRD0171,Kabel HDMI,Elektronik,241513,78
PRD0172,Card Reader,Elektronik,106447,99
PRD0173,USB Hub,Elektronik,449393,124
PRD0174,Mouse Pad,Elektronik,57917,61
PRD0175,Webcam,Elektronik,201944,147
PRD0176,Microphone,Elektronik,190197,148
PRD0177,Remote TV,Elektronik,157122,180
PRD0178,Baterai AA,Elektronik,156785,6
PRD0179,Baterai AAA,Elektronik,437178,169
PRD0180,Charger Mobil,Elektronik,209516,71
PRD0181,Mie Instan,Makanan,6245,145
PRD0182,Biskuit,Makanan,455544,176
PRD0183,Keripik Kentang,Makanan,410059,191
PRD0184,Cokelat Batang,Makanan,27713,156
PRD0185,Permen,Makanan,392684,128
PRD0186,Kacang Goreng,Makanan,438647,74
PRD0187,Roti Tawar,Makanan,408711,59
PRD0188,Sereal,Makanan,320276,91
PRD0189,Abon Sapi,Makanan,116821,163
PRD0190,Dendeng,Makanan,101683,159
PRD0191,Kerupuk Udang,Makanan,133400,174
PRD0192,Kue Kering,Makanan,398140,185
PRD0193,Selai Kacang,Makanan,404375,169
PRD0194,Madu,Makanan,358964,36
PRD0195,Tepung Terigu,Makanan,331382,25
PRD0196,Gula Pasir,Makanan,475643,161
PRD0197,Kopi Bubuk,Makanan,340868,11
PRD0198,Teh Celup,Makanan,163969,113
PRD0199,Susu Bubuk,Makanan,19492,149
PRD0200, Agar-agar,Makanan,193292,188
PRD0201,Air Mineral,Minuman,70897,24
PRD0202,Jus Jeruk,Minuman,478906,76
PRD0203,Soft Drink,Minuman,173294,192
PRD0204,Teh Botol,Minuman,219843,45
PRD0205,Kopi Instan,Minuman,107274,34
PRD0206,Susu UHT,Minuman,414359,139
PRD0207,Yogurt,Minuman,461517,94
PRD0208,Minuman Isotonik,Minuman,280319,129
PRD0209,Sirup,Minuman,480930,70
PRD0210,Soda,Minuman,437406,43
PRD0211,Jus Mangga,Minuman,136726,124
PRD0212,Jus Apel,Minuman,424832,76
PRD0213,Minuman Berenergi,Minuman,393412,87
PRD0214,Air Kelapa,Minuman,423649,30
PRD0215,Susu Kedelai,Minuman,247540,20
PRD0216,Jahe Instan,Minuman,75797,194
PRD0217,Cincau,Minuman,120287,174
PRD0218,Es Krim,Minuman,381698,173
PRD0219,Milkshake,Minuman,210358,143
PRD0220,Kefir,Minuman,193771,24
PRD0221,Pensil 2B,Alat Tulis,416545,102
PRD0222,Bolpoin Hitam,Alat Tulis,9297,68
PRD0223,Penghapus,Alat Tulis,283318,32
PRD0224,Penggaris,Alat Tulis,240438,95
PRD0225,Buku Tulis,Alat Tulis,354755,192
PRD0226,Spidol,Alat Tulis,354500,68
PRD0227,Stabilo,Alat Tulis,308477,98
PRD0228,Lem Kertas,Alat Tulis,433183,164
PRD0229,Gunting,Alat Tulis,494983,96
PRD0230,Cutter,Alat Tulis,58804,173
PRD0231,Amplop,Alat Tulis,124590,121
PRD0232,Kertas HVS,Alat Tulis,15120,159
PRD0233,Map Plastik,Alat Tulis,465593,144
PRD0234,Binder,Alat Tulis,173969,157
PRD0235,Klip Kertas,Alat Tulis,118060,166
PRD0236,Isi Staples,Alat Tulis,35143,163
PRD0237,Tipe-X,Alat Tulis,433937,119
PRD0238,Pensil Warna,Alat Tulis,478781,180
PRD0239,Krayon,Alat Tulis,160434,167
PRD0240,Cat Air,Alat Tulis,216064,30
PRD0241,Sapu,Perlengkapan Rumah,75283,12
PRD0242,Pel,Perlengkapan Rumah,498113,10
PRD0243,Ember,Perlengkapan Rumah,161574,127
PRD0244,Lap Mikrofiber,Perlengkapan Rumah,62880,25
PRD0245,Gelas Kaca,Perlengkapan Rumah,125102,138
PRD0246,Piring,Perlengkapan Rumah,73127,100
PRD0247,Mangkok,Perlengkapan Rumah,239839,95
PRD0248,Sendok Set,Perlengkapan Rumah,353527,191
PRD0249,Garpu,Perlengkapan Rumah,367158,139
PRD0250,Pisau Dapur,Perlengkapan Rumah,221743,151
PRD0251,Talenan,Perlengkapan Rumah,391162,187
